source,ID,country,month,year,lat,lon
GBIF,19866,E_AUS,1,1770,-37.9194,141.2683
GBIF,19868,E_AUS,1,1770,-37.8697,144.6447
GBIF,19870,E_AUS,4,1770,-31.565112,147.201195
GBIF,19862,E_AUS,1,1810,-38.2055,145.1111
GBIF,19850,W_AUS,8,1839,-32.0667,115.75
GBIF,19848,E_AUS,NA,1850,-34.8167,138.5
GBIF,19835,E_AUS,9,1865,-23.3667,150.5167
GBIF,19838,E_AUS,NA,1865,-23.37,150.47
GBIF,19833,E_AUS,NA,1867,-23.45,150.3667
GBIF,19828,E_AUS,NA,1874,-37.75,140.3167
GBIF,19823,E_AUS,NA,1878,-37.35,144.15
GBIF,19820,E_AUS,7,1881,-34.929722,138.598056
GBIF,19818,E_AUS,NA,1882,-35.7333,143.9
GBIF,19814,E_AUS,10,1883,-37.8,145.0167
GBIF,19816,E_AUS,NA,1883,-36.1167,147.0167
GBIF,19807,E_AUS,3,1885,-40.7167,148.1167
GBIF,19811,E_AUS,NA,1885,-36.6167,142.4667
GBIF,19805,W_AUS,NA,1886,-35.0167,117.9667
ELLIS,134,S_AFR,10,1886,-33.875,18.375
GBIF,19800,S_AFR,NA,1888,-30.625,29.875
GBIF,19797,E_AUS,9,1889,-34.498473,144.851267
GBIF,19799,E_AUS,NA,1889,-35.35,143.55
GBIF,19793,E_AUS,10,1893,-37.06511,149.701228
GBIF,19795,E_AUS,11,1893,-34.115095,150.717834
GBIF,19781,S_AFR,3,1896,-30.404468,31.026098
GBIF,19790,S_AFR,8,1896,-30.625,25.375
GBIF,19778,S_AFR,9,1897,-34.125,22.125
ELLIS,151,S_AFR,10,1897,-33.875,21.125
GBIF,19773,W_AUS,NA,1898,-30.95,121.15
GBIF,19767,E_AUS,3,1899,-29.11511,147.917828
GBIF,19770,S_AFR,9,1899,-33.91667,18.41667
GBIF,19764,E_AUS,1,1900,-34.45661,137.36471
GBIF,19766,S_AFR,8,1900,-28.625,24.875
ELLIS,56,S_AFR,9,1900,-28.625,24.875
GBIF,19762,E_AUS,11,1903,-32.02,151.2
GBIF,19756,E_AUS,6,1904,-34.924167,138.63
GBIF,19758,E_AUS,9,1904,-34.924167,138.723889
GBIF,19751,E_AUS,10,1907,-34.929722,138.598056
ELLIS,25,S_AFR,7,1908,-32.125,25.625
GBIF,19741,S_AFR,9,1911,-32.625,19.125
GBIF,19725,E_AUS,9,1912,-33.82,151.12
GBIF,19732,E_AUS,10,1912,-33.915089,151.117824
GBIF,19735,E_AUS,11,1912,-38.2667,144.6167
GBIF,19729,S_AFR,9,1912,-33.875,25.375
GBIF,19737,S_AFR,12,1912,-33.125,18.125
GBIF,19719,E_AUS,10,1913,-31.72,148.65
GBIF,19721,E_AUS,11,1913,-34.52,148.17
GBIF,19715,E_AUS,9,1914,-31.465076,152.717767
GBIF,19717,E_AUS,10,1914,-42.7667,147.2167
GBIF,19714,S_AFR,7,1914,-31.375,23.875
ELLIS,12,S_AFR,8,1914,-31.375,23.875
GBIF,19712,E_AUS,10,1915,-34.45,147.52
GBIF,19709,E_AUS,9,1916,-31.72,148.65
GBIF,19706,E_AUS,12,1917,-27.47,153.02
GBIF,19701,S_AFR,8,1917,-33.625,18.875
GBIF,19705,S_AFR,10,1917,-32.125,18.375
ELLIS,20,S_AFR,7,1917,-31.375,25.125
ELLIS,112,S_AFR,11,1917,-31.875,18.625
ELLIS,117,S_AFR,11,1917,-32.125,18.375
ELLIS,135,S_AFR,9,1917,-33.625,18.875
GBIF,19696,S_AFR,9,1918,-32.875,18.125
ELLIS,27,S_AFR,10,1918,-32.125,25.625
ELLIS,122,S_AFR,10,1918,-32.875,18.125
GBIF,19689,W_AUS,10,1919,-31.866667,116.75
GBIF,19685,E_AUS,9,1920,-31.97,141.45
GBIF,19687,E_AUS,NA,1920,-31.57,147.2
GBIF,19680,S_AFR,5,1920,-28.875,22.875
ELLIS,52,S_AFR,6,1920,-28.875,22.875
ELLIS,53,S_AFR,3,1920,-28.125,23.625
ELLIS,111,S_AFR,7,1920,-31.875,18.625
GBIF,19672,E_AUS,9,1921,-30.87,152.82
GBIF,19675,E_AUS,10,1921,-37.8167,144.9667
GBIF,19674,S_AFR,9,1921,-33.875,20.125
GBIF,19676,S_AFR,11,1921,-34.125,24.875
ELLIS,149,S_AFR,10,1921,-33.875,20.125
ELLIS,178,S_AFR,3,1921,-34.125,23.125
GBIF,19660,E_AUS,2,1924,-42.85,147.35
GBIF,19662,E_AUS,10,1924,-33.271389,138.3525
GBIF,19646,S_AFR,8,1926,-34.625,20.125
ELLIS,43,S_AFR,5,1926,-34.125,24.375
ELLIS,168,S_AFR,9,1926,-34.625,20.125
GBIF,19626,E_AUS,7,1928,-33.898443,148.167872
GBIF,19631,E_AUS,9,1928,-34.865096,150.601177
ELLIS,55,S_AFR,7,1928,-28.625,24.625
GBIF,19619,E_AUS,9,1929,-42.878717,147.380955
GBIF,19622,E_AUS,10,1929,-42.88195,147.367706
GBIF,19614,S_AFR,12,1930,-29.375,29.875
ELLIS,6,S_AFR,9,1930,-31.125,18.375
ELLIS,118,S_AFR,10,1930,-32.125,18.875
GBIF,19604,E_AUS,9,1931,-34.87,150.6
GBIF,19602,E_AUS,12,1932,-27.415206,153.084124
ELLIS,10,S_AFR,11,1933,-31.375,19.125
ELLIS,17,S_AFR,6,1934,-31.375,25.125
GBIF,19589,E_AUS,7,1935,-35.576944,138.376944
GBIF,19588,S_AFR,6,1935,-32.5,24.1
ELLIS,71,S_AFR,3,1935,-29.625,22.625
GBIF,19575,S_AFR,8,1936,-28.375,24.375
ELLIS,22,S_AFR,10,1936,-31.375,29.625
ELLIS,54,S_AFR,9,1936,-28.375,24.375
GBIF,19566,S_AFR,7,1937,-29.625,17.125
ELLIS,61,S_AFR,7,1937,-29.64972222,17.09055556
ELLIS,64,S_AFR,7,1937,-29.625,17.625
GBIF,19562,E_AUS,12,1938,-17.2667,145.4667
GBIF,19561,S_AFR,9,1938,-34.625,19.375
GBIF,19547,S_AFR,9,1941,-31.375,19.625
ELLIS,91,S_AFR,7,1941,-31.375,19.875
GBIF,19539,E_AUS,1,1942,-37.8583,144.8597
GBIF,19527,E_AUS,9,1944,-28.581885,150.417503
GBIF,19529,E_AUS,9,1944,-37.8667,144.85
GBIF,19532,W_AUS,9,1944,-31.981389,115.853333
GBIF,19512,E_AUS,8,1945,-34.87,150.6
GBIF,19514,E_AUS,9,1945,-37.7341,144.8322
GBIF,19517,E_AUS,10,1945,-34.7151,150.001185
GBIF,19519,E_AUS,10,1945,-37.8327,145.0205
GBIF,19524,E_AUS,NA,1945,-37.816667,145
ELLIS,140,S_AFR,10,1945,-33.875,18.875
GBIF,19499,E_AUS,8,1946,-32.215106,148.251185
GBIF,19501,E_AUS,8,1946,-34.87,150.6
GBIF,19503,E_AUS,8,1946,-33.75,151.07
GBIF,19508,W_AUS,9,1946,-30.596389,117.043611
GBIF,19510,E_AUS,NA,1946,-35.258346,139.333805
ELLIS,142,S_AFR,7,1946,-33.875,18.875
GBIF,19477,E_AUS,9,1947,-34.865096,150.601177
GBIF,19481,E_AUS,9,1947,-34.87,150.6
GBIF,19487,E_AUS,10,1947,-35.3167,149.1333
GBIF,19475,S_AFR,2,1947,-31.375,25.125
GBIF,19490,S_AFR,10,1947,-32.125,26.625
ELLIS,16,S_AFR,11,1947,-31.375,25.125
ELLIS,136,S_AFR,9,1947,-33.625,18.875
GBIF,19465,E_AUS,9,1948,-27.581878,151.917475
GBIF,19467,W_AUS,10,1948,-33.848333,115.098056
GBIF,19470,E_AUS,NA,1948,-34.25,139.5
GBIF,19473,E_AUS,NA,1948,-33.416667,138.916667
GBIF,19451,E_AUS,8,1949,-33.748423,151.067823
GBIF,19456,E_AUS,9,1949,-36.07,146.9
GBIF,19462,E_AUS,10,1949,-36.05,146.9
GBIF,19459,S_AFR,9,1949,-32.875,18.625
ELLIS,115,S_AFR,9,1949,-31.875,18.625
GBIF,19442,E_AUS,10,1950,-27.606738,152.809407
GBIF,19446,W_AUS,10,1950,-33.553333,115.558333
ELLIS,18,S_AFR,10,1950,-31.375,25.125
ELLIS,86,S_AFR,7,1950,-30.875,25.125
GBIF,19425,E_AUS,9,1951,-41.178857,147.100294
GBIF,19427,E_AUS,10,1951,-35.665127,147.017915
GBIF,19429,E_AUS,10,1951,-35.67,147.02
GBIF,19431,E_AUS,12,1951,-42.898684,147.330858
GBIF,19433,E_AUS,NA,1951,-36.30973,140.674267
GBIF,19435,E_AUS,NA,1951,-36.339466,140.850563
GBIF,19409,E_AUS,1,1952,-34.201235,144.722055
GBIF,19411,E_AUS,1,1952,-42.898618,147.334373
GBIF,19415,E_AUS,9,1952,-33.365108,148.017866
GBIF,19417,E_AUS,10,1952,-34.969167,138.629722
GBIF,19414,S_AFR,8,1952,-32.125,25.625
GBIF,19400,E_AUS,NA,1953,-35.233333,146.716667
ELLIS,167,S_AFR,9,1953,-34.625,20.125
GBIF,19392,E_AUS,9,1954,-29.4,151.0833
GBIF,19395,E_AUS,NA,1954,-36.77776,149.083339
ELLIS,19,S_AFR,3,1954,-31.375,25.125
GBIF,19381,E_AUS,9,1955,-36.381929,145.684307
GBIF,19384,E_AUS,12,1955,-41.098611,146.834352
GBIF,19367,E_AUS,9,1956,-34.860556,138.604444
GBIF,19373,E_AUS,10,1956,-35.266667,138.461667
GBIF,19376,E_AUS,11,1956,-35.008056,138.726111
ELLIS,132,S_AFR,8,1956,-33.375,18.875
ELLIS,180,S_AFR,9,1956,-34.125,23.375
